,time,tile,currencies,votes_positive,votes_negative,votes_natural
0,2021-09-30 00:20:00,CryptoGlobe,XRP,26,0,1
1,2021-09-30 00:08:19,Decrypt,None,22,0,3
2,2021-09-29 22:14:40,Bitcoinist,"BTC,ETH",37,0,1
3,2021-09-29 21:33:24,The Block,AVAX,23,0,2
4,2021-09-29 21:00:24,Bitcoinist,ETH,9,1,0
5,2021-09-29 20:30:28,AMBCrypto,XRP,16,0,1
6,2021-09-29 20:30:01,Anthony Pompliano,None,19,0,1
7,2021-09-29 19:45:00,CoinTelegraph,USDT,13,0,4
8,2021-09-29 19:14:02,Finbold,BTC,22,43,14
9,2021-09-29 18:47:16,CryptoGlobe,ADA,82,4,2
10,2021-09-29 18:15:00,CoinTelegraph,None,83,0,4
11,2021-09-29 17:57:38,CoinTelegraph,XRP,21,2,1
12,2021-09-29 17:39:29,The Block,None,15,0,2
13,2021-09-29 17:27:40,Decrypt,BTC,33,0,1
14,2021-09-29 17:01:00,CoinTelegraph,"BTC,ETH,SOL,MATIC",48,6,13
15,2021-09-29 17:00:47,Bitcoinist,BTC,77,1,7
16,2021-09-29 16:56:34,CryptoBriefing,AVAX,12,4,1
17,2021-09-29 16:49:38,Blockworks,BTC,15,0,0
18,2021-09-29 16:48:06,The Block,BTC,20,0,0
19,2021-09-29 16:31:07,Bitcoin Magazine,BTC,26,3,2
